author,content
ladygaga,Listen up America ✌🏾✌🏿✌🏽✌🏼✌🏻Get in your car or put on your shoes + go out &amp; #Vote ! 🇺🇸 needs you!! #ElectionDay… https://t.co/lZK34LXunh
ladygaga,RT  Latino/ Latina Monsters and friends in FLORIDA 🇺🇸✌️️ https://t.co/ZgfXV16GNU
ladygaga,Trend it MONSTERS #TellAFriendToVote https://t.co/rfaGyctanM
ladygaga,THE POLLS ARE STILL OPEN!🎉💋 #ElectionDay #GoVote #MyVote  https://t.co/8Tv9QR8mr0
ladygaga,GO OUT AND #Vote #ElectionDay your vote matters MORE THAN EVER. 🇺🇸🎉💪✌️️❤️ https://t.co/smZ5pv1U0v
ladygaga,"NEVADA
WISCONSIN
NEWHAMPSHIRE
VIRGINIA
ARIZONA
IOWA
OHIO
FLORIDA
PENNSYLVANIA
N.CAROLINA
COLORADO
MICHIGAN"
ladygaga,"Arizona! Florida! Ohio! Michigan! Pennsylvania! Nevada! North Carolina!

Today is about YOU. The power is in your h… https://t.co/VQx1V5s8lZ"
ladygaga,RT and spread this message Monsters! It's election KRUNCHTime and EVERY VOTE counts! #ElectionDay #Elections2016… https://t.co/S55JJkwj7Q
ladygaga,#Trump Vs. Hillary #ElectionDay https://t.co/IkouzJae9t
ladygaga,#GoVote https://t.co/0GF50H3DWy
ladygaga,"#GoVote Watch this, be inspired to #Vote for the leader who will protect our children. #Election2016… https://t.co/zeZJdC1mtl"
ladygaga,It was my privilege to perform for @HillaryClinton tonight. https://t.co/EOZIS727T3
ladygaga,@AHSLadyGaga we need everyone WOKE for the next 24 hrs. Encourage all your friends to vote tomorrow and makes a thing of it. 😎🇺🇸✌️️
ladygaga,Emma from Wisconsin has Cerebral Palsy. In a wheelchair her whole life. She saw the video of Trump making fun of a… https://t.co/RunwSAILU8
ladygaga,"Hillary we love you because we know, that you know, WE ARE #StrongerTogether #ImWithHer https://t.co/Y2nLCJXwpT"
ladygaga,#Election2016 https://t.co/8Tv9QR8mr0
ladygaga,@ByTheTides THATS THE SPIRIT
