author,content
taylorswift13,"Happy birthday to the life of the party, @Beyonce! 💋💋💋💋💋
#HappyBdayBey http://t.co/h3MqgqNxgb"
taylorswift13,"After just a few listens through the Four Pink Walls EP, my 💗 belongs to @alessiacara.
#FourPinkWalls"
taylorswift13,@lordemusic http://t.co/lItz7K7pOO
taylorswift13,"#wildestdreamsVEVO
http://t.co/FuVnA23Ha0 http://t.co/kUwqDAYmPw"
taylorswift13,@NICKIMINAJ love you so much. 💗
taylorswift13,"I love you.
#VMA http://t.co/IlWrEyS7VO"
taylorswift13,Nothing says 'turnt' like @HaileeSteinfeld :) :) :) http://t.co/yIoYRtOmyI
taylorswift13,THANK YOU GUYS WE ARE FREAKING OUT http://t.co/lJnW3sS9Z3
taylorswift13,#WildestDreams is OUT. http://t.co/FuVnA23Ha0
taylorswift13,It's time! http://t.co/CxhUvSLUYe
taylorswift13,#WildestDreams #VMA pre-show SOOOOOON
taylorswift13,"Headed to red carpet....
#VMAs #squadUP http://t.co/NuubLARzSB"
taylorswift13,When you realize #WildestDreamsToday !!!!!!!! http://t.co/IaOGlHNBpC
taylorswift13,Sunbathing in San Diego. http://t.co/PRl7kCyYDw
taylorswift13,"You looked beautiful tonight.
#1989TourSanDiego

Photo: andistoodtherelovingyou on tumblr http://t.co/oALttlRlla"
taylorswift13,So incredible sharing the stage with @AvrilLavigne! 'Complicated' is such a brilliant pop song and I just love her. http://t.co/JnE5ShK8ok
taylorswift13,"Thank you @omimusiconline for singing 'Cheerleader' tonight in San Diego!! You're amazing :)
#1989toursandiego http://t.co/qnnUvcr3ok"
taylorswift13,"Behold, the JT butt-slap.
...also known as the greatest moment of Paul's life.
@paulsidoti http://t.co/Co6HXUVbDJ"
taylorswift13,"Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe

#WildestDreamsMusicVideo @ScottEastwood http://t.co/0IIxp1WSnz"
taylorswift13,"Pre-show huddle with @selenagomez
Photo credit: @jtimberlake http://t.co/PZs5iwnNi8"
taylorswift13,"""You have to really feel the lyrics.""
-getting schooled by @LisaKudrow http://t.co/uzn9IFf4wW"
taylorswift13,"Never thought I'd say this but ""Smelly Cat"" was on my set list last night.
@LisaKudrow, you are the greatest. http://t.co/Lva75KOpbv"
taylorswift13,Unforgettable night thanks to that LA crowd..... And @jtimberlake. http://t.co/ooB3FdUPw2
taylorswift13,"Sisterhood.
@selenagomez
#1989TourLA http://t.co/dHmACn2j9D"
taylorswift13,"Justin Timberlake.
Mid-mic drop.
#1989TourLA
@jtimberlake http://t.co/xLFLetDyJk"
taylorswift13,"There is nothing cooler than @st_vincent soloing while pyro goes off in the background.
#1989TourLA http://t.co/usj0Lrq2tY"
taylorswift13,I heard @johnlegend and Chrissy were on the way to the show &amp; called and asked if John felt like playing 'All of Me': http://t.co/qM3Wwscaze
taylorswift13,Getting to play 'Dreams' with @Beck and @st_vincent is something I'll remember forever. I can't even express it. http://t.co/haLQzBxpbg
taylorswift13,@shondarhimes oh my God!! You can come to any show any time! Bring your daughter and her friends and call it a girls night. DM me!
taylorswift13,Tonight. 'You Oughta Know'. @Alanis. I don't know how to process how amazing she was. Just absolutely magnificent. http://t.co/yDhpaAszBU
taylorswift13,I used to sing Dixie Chicks songs at every talent show. Singing 'Goodbye Earl' with Natalie tonight was unbelievable. http://t.co/2r9N8T4TKq
taylorswift13,"When @TheEllenShow walks out in a more sparkly outfit than yours and a tutu
https://t.co/5JtEFcQDAx
#1989TourLA http://t.co/Ey9ZJI1adv"
taylorswift13,"Wildest Dreams music video preview. Full video debuts VMA night. Get ready.
#WildestDreamsMusicVideo http://t.co/qfye9qMDW5"
taylorswift13,"#1989TourLA
@maryjblige
@UzoAduba
@Seanopry55
@chrisrock
@RealLeBlancM http://t.co/GfXeRkcEQJ"
taylorswift13,"When @maryjblige absolutely shut down @STAPLESCenter and played not one, but TWO songs. I love her so much. Unreal. http://t.co/cL7Z8G2HNm"
taylorswift13,"When Sean O'Pry, Chris Rock, and Matt LeBlanc walked out and the crowd went CRAZY.
#1989TourLosAngeles http://t.co/QlwwsIRrc1"
taylorswift13,That moment when @UzoAduba comes out and sings 'White Horse' and makes everyone in the arena fall in love with her: http://t.co/YSbAIsaENs
taylorswift13,"Getting ready to make some more memories tonight at @STAPLESCenter!
#1989TourLosAngeles http://t.co/NrX8aH4N38"
taylorswift13,"It was a beautiful night in Los Angeles. Thank you @kobebryant, Ryan Tedder @OneRepublic, @STAPLESCenter &amp; the fans! http://t.co/nKb44khnaA"
taylorswift13,"Tonight @kobebryant surprised me with a banner in @STAPLESCenter for the most sold out shows. You did that. Love you
https://t.co/SI61260FlT"
taylorswift13,Getting ready to play 5 shows at Staples Center in LA this week and reminiscing about what my gigs used to be like. http://t.co/jTk2fZRvII
taylorswift13,@CatfishMTV I'm watching your show RIGHT NOW
taylorswift13,@JacobsPiano I HAVE to give you a hug for that beautiful piano medley you did! Please come to a show on my tour and say hi to me? My treat.
taylorswift13,Toshi hangs with fans every show (https://t.co/44ti460i2T) and he makes my life brighter. HAPPY BDAY @TOSHI_ATEAMLV ! http://t.co/s0QwwFpOPF
taylorswift13,#GoodForYouVMA
taylorswift13,"One year ago today, 'Shake It Off' was released and I told you my album would be called 1989. Just.... Thank you. For everything."
taylorswift13,"Glendale, AZ = magical crowd http://t.co/X1AsvkqRA9"
taylorswift13,Tonight Joan Baez and Julia Roberts danced it out to 'Style'. These two women are my heroes. What an honor. http://t.co/ERFqo1SS8H
taylorswift13,"LITTLE MIX!! Love these girls!!
They smashed it tonight in front of 50,000 screaming fans. Amazing.
@LittleMix http://t.co/QuOb9zLLv8"
taylorswift13,"CAMILA! @camilacabello97
https://t.co/KJjT6ZJpkY"
taylorswift13,"So excited to play here AGAIN tonight!
#1989TourSantaClara
Night 2!! http://t.co/7njlIRIhv2"
taylorswift13,I want to be in Fifth Harmony. http://t.co/WbogyPIzOd
taylorswift13,"Can't wait to see @markvillaver tomorrow and tell him how sick this is. The performers on this tour blow my mind.
https://t.co/9fZStD7JF3"
taylorswift13,"Happy birthday to cheeky, charming @Caradelevingne- who lights up my life..and regularly steals my phone &amp; does this: http://t.co/DG3A0mDaFl"
taylorswift13,You seem stressed. http://t.co/7VFL8vRAYP
taylorswift13,"And now treat your ears to the vocal event of the year, @mirandasings &amp; @torikelly gloriously covering 'Bad Blood'.
http://t.co/ARCTi78Aor"
taylorswift13,"""Cause baby I could build a castle out of all the bricks they threw at me""
-a line from New Romantics

But I'm not actually buying a castle."
taylorswift13,Absolutely floored by these domino skills and really flattered that someone would do this. http://t.co/Ev7GPq481I
taylorswift13,"Last night's crowd was breathtaking.

(Found this on @jorrdie__'s Instagram- thanks girl) http://t.co/MdjRfLV3sG"
taylorswift13,"""When you've got two individuals that love music, magic happens.""
@kendricklamar

http://t.co/IcQyWxrEm2 http://t.co/Rtp4Xcq2Dm"
taylorswift13,"No big deal just the happiest moment of my life to date
@fettywap
https://t.co/NxNsQ2XWmY"
taylorswift13,"FETTY WAP.
TRAP QUEEN.
SEATTLE.
60,000 PPL.
OH MY GOD.

@fettywap thank you so much for coming!! Unreal!! http://t.co/3fFuhZh7Pg"
taylorswift13,That Seattle crowd went ABSOLUTELY INSANE when @Ciara and @DangeRussWilson walked out!! I LOVED TONIGHT. http://t.co/3wrbupx05U
taylorswift13,"Coming Home to Mixed Reactions -
A Short Film http://t.co/p8W2TLSPzN"
taylorswift13,@TheRyanAdams Cool I'm not gonna be able to sleep tonight or ever again and I'm going to celebrate today every year as a holiday. I'M CALM
taylorswift13,@hasief @TheRyanAdams is this true??????? I WILL PASS OUT.
taylorswift13,"""It's a little invention I made earlier...""
Mother Chucker
@Caradelevingne

http://t.co/IcQyWxrEm2 http://t.co/dDePO4l3Kd"
taylorswift13,"Just wanted to let you know that the next single from 1989 will be...........

Wildest Dreams."
taylorswift13,"""Then the dog would bark next to me and I'd just crack up after we'd cut.""
Slay-Z
@GiGiHadid

http://t.co/IcQyWxrEm2 http://t.co/gV99ndvSH5"
taylorswift13,"My @VanityFair cover!!
Including LOTS of real talk with brilliant @JDuboff
Photos by the incredible @mariotestino. http://t.co/yFdmTAMQrp"
taylorswift13,"Permission granted, @BelvoirSt. Good luck with your opening night :)"
taylorswift13,"Some of my best times are with her, laughing in the kitchen. Happy Birthday to the ray of light that is @karliekloss! http://t.co/qmyfae5w8C"
taylorswift13,"""I'm Selena and I'm the villain.""
Arsyn.
@selenagomez

http://t.co/IcQyWxrEm2 http://t.co/pDhz44Us9D"
taylorswift13,"""My name in the video is Destructa X, which I think is perfect for me.""
@elliegoulding
http://t.co/IcQyWxrEm2 http://t.co/hQE6K3jjav"
taylorswift13,"""I gave her the nod of approval.""
Justice.
@Mariska

http://t.co/IcQyWxrEm2 http://t.co/zXyDqKPQ7q"
taylorswift13,I'm OBSESSED with @NicoandVinz &amp; so was that Vancouver crowd! Such dynamic performers &amp; SO down to earth. Fangirling! http://t.co/GagE9larhM
taylorswift13,"""Cut-Throat! YES. Perfect.""
@Zendaya

http://t.co/IcQyWxrEm2 http://t.co/FAnVGyNNs1"
