author,content
justinbieber,Almost time
justinbieber,@pattiemallette :)
justinbieber,#PurposeTourPhilly
justinbieber,Good one https://t.co/lEsFi8ayZC
justinbieber,@christinaperri thanks
justinbieber,:) https://t.co/SqfXvddgSj
justinbieber,https://t.co/lcZuMOCcva
justinbieber,the media really loves to twist things. Glad we have social media so they can't twist me. I love people. Plain and simple. I love people
justinbieber,About last night. Brooklyn night 2 #PurposeTourBrooklyn https://t.co/IMja7nAoZL
justinbieber,Brooklyn night 1 #PurposeTourBrooklyn https://t.co/ID9OujyJZf
justinbieber,#12mercer
justinbieber,Today and tomorrow. First come first serve. #12mercer https://t.co/cf0PkiUqyT
justinbieber,Tomorrow. 12 mercer https://t.co/EbVOzT3Jci
justinbieber,12 mercer https://t.co/hx7sz1XYsm
justinbieber,Surprise performance tonight on #RDMA https://t.co/ZaI7G0Q2Xy
justinbieber,Thank u https://t.co/4I3agAJz2r
justinbieber,https://t.co/ogTjZqxjEj
justinbieber,#ViewsFromTheSix
justinbieber,https://t.co/vOdSA2SLUG
justinbieber,Thanks for the bracelet Jen :) Happy #WorldWishDay @MakeAWish #neonwish https://t.co/npGOcBCjlg
justinbieber,See u at the #BBMAs. #BieberOnBBMAs https://t.co/7Q2J8bXBBy
justinbieber,Love https://t.co/zP6krkmqNw
justinbieber,Thank you Detroit  https://t.co/hZF6man6GU
justinbieber,:) https://t.co/oPtd9mEmaJ
justinbieber,Thank you
justinbieber,I swear I always have some of the best shows in Chicago!
justinbieber,Lol https://t.co/d1CI21uOSc
justinbieber,I love this tour. #PurposeTour
justinbieber,Making a special surprise appearance on #RDMA. Watch May 1st on @DisneyChannel https://t.co/vHgg7iUEWt
justinbieber,Love u too bro https://t.co/Us1rrqTVVv
justinbieber,That was one of the best yet. Thank you to big bros @Usher and @Akon for coming out. Made Ush play all the hits. #PurposeTourAtlanta
justinbieber,@usher @Ludacris @AugustAlsina @2chainz all in the building tonight. Great show ATL
justinbieber,ATL night 1!! #PurposeTourAtlanta
justinbieber,Thanks #BBMAs and my beliebers https://t.co/O1av4uVuga
justinbieber,#PurposeTourDallas
justinbieber,Houston was a movie. Dallas up next
justinbieber,#PurposeTourHouston
justinbieber,Something special in Tulsa today. #giveback
justinbieber,#Company remix @TheKnocks. They are coming with me to Canada on the #PurposeTour https://t.co/dzJt5karYg
justinbieber,Tonight was a great show. Thanks. #PurposeTourKansasCity
justinbieber,I tour in #mycalvins. Follow @calvinklein + RT their #PURPOSETOURxCK post to win tix https://t.co/hkWtECH70B
justinbieber,#PurposeTourKansasCity
justinbieber,Like I said I love Kansas City  https://t.co/6H74kdAwTZ
justinbieber,Lol. Ray killed it https://t.co/B4pD9DqUv5
justinbieber,Request #company
justinbieber,🐼🐼🐼🐼
justinbieber,Life is good
justinbieber,New tune. @Drake and @kanyewest 🔥🔥😃 take u to the garage and do karate 🙏 https://t.co/ynKT3uf3aS
justinbieber,Congrats to my bro @BigSean this EP 🔥https://t.co/unHQG1oPoi
justinbieber,Love Kansas City
justinbieber,#PurposeTourDenver
justinbieber,Thank you https://t.co/Z736ZrsmKy
justinbieber,It's me
justinbieber,Great night at #iheart and #junos . Thanks to everyone who has supported me. Back on #PurposeTour tomorrow
justinbieber,@iHeartRadio @tacobell this made me smile. #mybeliebers
justinbieber,#BestFanArmy #Beliebers #iHeartAwards https://t.co/dlRiy7TmXn
justinbieber,Got the message. RT this.  #BestFanArmy #Beliebers and #iHeartAwards
justinbieber,See u soon https://t.co/5GRufywf0t
justinbieber,@pattiemallette I love you :) #yourday
justinbieber,#PurposeTourSaltLakeCity
justinbieber,On the road #PurposeTour
justinbieber,@kanyewest 👏🏻👏🏻👏🏻 @fucktyler the goat
justinbieber,Blessed. Thank u
justinbieber,#PurposeTourGlendale another great show. Thank u
justinbieber,Met an amazing kid from make a wish today. Inspired
justinbieber,Haha. Just got this from @scooterbraun and @jmckinney. Got the bartender going in. Stay classy San Diego https://t.co/evElmPbfJc
